"Title","Year","Rating","Release","Runtime","Critics' Review","Audience Review"
"Escape From Planet Earth 3D","2013","PG","2013-02-15","89","29","73"
"A Good Day To Die Hard","2013","R","2013-02-14","110","16","82"
"Safe Haven","2013","PG-13","2013-02-14","115","12","71"
"Identity Thief","2013","R","2013-02-08","107","24","74"
"Hansel and Gretel: Witch Hunters","2013","R","2013-01-25","100","15","63"
"Beautiful Creatures","2013","PG-13","2013-02-14","118","45","74"
"Warm Bodies","2013","PG-13","2013-02-01","97","78","82"
"Side Effects","2013","R","2013-02-08","106","85","70"
"Silver Linings Playbook","2012","R","2012-11-21","120","92","89"
"Mama","2013","PG-13","2013-01-18","100","62","69"
"Zero Dark Thirty","2012","R","2013-01-11","157","94","82"
"Django Unchained","2012","R","2012-12-25","166","89","94"
"Life of Pi","2012","PG","2012-11-21","127","88","87"
"The Hobbit: An Unexpected Journey","2012","PG-13","2012-12-14","170","65","84"
"Les Miserables","2012","PG-13","2012-12-25","158","70","82"
"Parental Guidance","2012","PG","2012-12-25","105","19","66"
